"Exercise Name","Equipment Used","Skill Level","Muscle Groups Targeted (%)","Exercise Group","Body Part"
"DB Alternating Front Raises","Dumbbells","Beginner","Front Delts 65%, Lateral Delts 15%, Traps 10%, Core 10%","Shoulders - DB","Shoulders"
"DB Shoulder Presses","Dumbbells, Bench","Beginner","Front Delts 55%, Lateral Delts 25%, Triceps 15%, Traps 5%","Shoulders - DB","Shoulders"
"DB Rear Delt Fly (Chest Supported)","Dumbbells, Incline Bench","Intermediate","Rear Delts 65%, Rhomboids 20%, Traps 10%, Core 5%","Shoulders - DB","Shoulders"
"BB Shoulder Presses","Barbell, Bench or Standing","Intermediate","Front Delts 55%, Lateral Delts 25%, Triceps 15%, Traps 5%","Shoulders - BB","Shoulders"
"BB Upright Row","Barbell","Intermediate","Lateral Delts 50%, Traps 30%, Biceps 10%, Rear Delts 10%","Shoulders - BB","Shoulders"
"Smith Machine Shoulder Presses","Smith Machine, Bench","Beginner","Front Delts 55%, Lateral Delts 25%, Triceps 15%, Traps 5%","Shoulders - Smith Machine","Shoulders"
"Smith Machine Upright Row","Smith Machine","Beginner","Lateral Delts 50%, Traps 30%, Biceps 10%, Rear Delts 10%","Shoulders - Smith Machine","Shoulders"
"Cable Incline Bench Y-Raises","Cable Machine, Incline Bench","Advanced","Lateral Delts 60%, Traps 20%, Rhomboids 15%, Core 5%","Shoulders - Cables","Shoulders"
"Incline Bench Front Facing Cable Raises","Cable Machine, Incline Bench","Intermediate","Front Delts 65%, Traps 20%, Core 10%, Lateral Delts 5%","Shoulders - Cables","Shoulders"
"Flat Bench Cable Lateral Raises","Cable Machine, Flat Bench","Intermediate","Lateral Delts 65%, Traps 20%, Core 10%, Front Delts 5%","Shoulders - Cables","Shoulders"
"Cable Crossover Lateral Raises","Cable Machine","Advanced","Lateral Delts 60%, Traps 25%, Core 10%, Front Delts 5%","Shoulders - Cables","Shoulders"
"Cable Rope Incline Bench Upright Row","Cable Machine, Incline Bench, Rope","Advanced","Traps 50%, Lateral Delts 30%, Biceps 10%, Rear Delts 10%","Shoulders - Cables","Shoulders"
"Cable Incline Bench Front Raises","Cable Machine, Incline Bench","Intermediate","Front Delts 65%, Traps 20%, Core 10%, Lateral Delts 5%","Shoulders - Cables","Shoulders"
"Lying Cable Front Raise","Cable Machine, Flat Bench","Advanced","Front Delts 65%, Traps 20%, Core 10%, Lateral Delts 5%","Shoulders - Cables","Shoulders"
"Unilateral Cable Lateral Raises","Cable Machine","Beginner","Lateral Delts 70%, Traps 20%, Core 10%","Shoulders - Cables","Shoulders"
"Unilateral Cable Rear Delts Stretch-Biased Reverse Fly","Cable Machine","Advanced","Rear Delts 65%, Rhomboids 20%, Traps 10%, Core 5%","Shoulders - Cables","Shoulders"
"V-Grip Upright Row","Cable Machine, V-Grip Attachment","Intermediate","Traps 50%, Lateral Delts 30%, Biceps 10%, Rear Delts 10%","Shoulders - Cables","Shoulders"
"Crossover Cable High Pull","Cable Machine","Advanced","Rear Delts 50%, Traps 30%, Lateral Delts 15%, Core 5%","Shoulders - Cables","Shoulders"
"Cable Rope Front Raises","Cable Machine, Rope","Intermediate","Front Delts 65%, Traps 20%, Core 10%, Lateral Delts 5%","Shoulders - Cables","Shoulders"
"Machine Lateral Raise","Machine","Beginner","Lateral Delts 70%, Traps 20%, Core 10%","Shoulders - Machine","Shoulders"
"Machine Single Arm Reverse Fly (Stretch Bias)","Machine","Intermediate","Rear Delts 65%, Rhomboids 20%, Traps 10%, Core 5%","Shoulders - Machine","Shoulders"
"Machine Press","Shoulder Press Machine","Beginner","Front Delts 55%, Lateral Delts 25%, Triceps 15%, Traps 5%","Shoulders - Machine","Shoulders"
"Leg Press","Machine","Beginner","Quads 60%, Glutes 25%, Hamstrings 10%, Calves 5%","Legs - Machine","Legs"
"Low Foot Placement Quad Biased Leg Press","Machine","Intermediate","Quads 70%, Glutes 15%, Hamstrings 10%, Calves 5%","Legs - Machine","Legs"
"Leg Press Calf Raises","Machine","Beginner","Calves 90%, Tibialis Anterior 5%, Quads 5%","Legs - Machine","Legs"
"Hack Squat","Machine","Intermediate","Quads 60%, Glutes 25%, Hamstrings 10%, Core 5%","Legs - Machine","Legs"
"Low Foot Placement Quad Biased Hack Squat","Machine","Advanced","Quads 75%, Glutes 15%, Hamstrings 5%, Core 5%","Legs - Machine","Legs"
"Pendulum Squat","Machine","Advanced","Quads 65%, Glutes 20%, Hamstrings 10%, Core 5%","Legs - Machine","Legs"
"Super Squat","Machine","Advanced","Glutes 40%, Quads 35%, Hamstrings 15%, Core 10%","Legs - Machine","Legs"
"Stretch Biased Quad Extensions (Foam Roller)","Machine, Foam Roller","Intermediate","Quads 85%, Hip Flexors 10%, Core 5%","Legs - Machine","Legs"
"Stretch Biased Lying Hamstring Curls","Machine","Intermediate","Hamstrings 80%, Calves 10%, Glutes 10%","Legs - Machine","Legs"
"Stretch Biased Seated Hamstring Curls","Machine","Intermediate","Hamstrings 75%, Glutes 15%, Calves 10%","Legs - Machine","Legs"
"Seated Calf Raise Machine","Machine","Beginner","Calves (Soleus) 90%, Tibialis Anterior 5%, Quads 5%","Legs - Machine","Legs"
"Standing Calf Raise Machine","Machine","Beginner","Calves (Gastrocnemius) 90%, Tibialis Anterior 5%, Glutes 5%","Legs - Machine","Legs"
"Donkey Calf Raises","Machine, Platform","Intermediate","Calves (Gastrocnemius) 90%, Glutes 5%, Core 5%","Legs - Machine","Legs"
"Hip Adduction Machine","Machine","Beginner","Adductors 80%, Glutes 15%, Core 5%","Legs - Machine","Legs"
"Hip Abduction Machine","Machine","Beginner","Glute Medius 75%, TFL 15%, Core 10%","Legs - Machine","Legs"
"Glute Bridge Machine","Machine","Intermediate","Glutes 70%, Hamstrings 20%, Core 10%","Legs - Machine","Legs"
"GHD (Glute Focused)","GHD Machine","Advanced","Glutes 60%, Hamstrings 30%, Core 10%","Legs - Machine","Legs"
"GHD (Hamstring Focused)","GHD Machine","Advanced","Hamstrings 70%, Glutes 20%, Core 10%","Legs - Machine","Legs"
"Deficit Belt Squat","Machine, Platform","Advanced","Quads 50%, Glutes 30%, Hamstrings 15%, Core 5%","Legs - Machine","Legs"
"V-Grip Cable RDL","Cable Machine, V-Grip Attachment","Intermediate","Hamstrings 50%, Glutes 40%, Lower Back 10%","Legs - Machine","Legs"
"Glute Kickback","Cable Machine or Glute Machine","Intermediate","Glutes 80%, Hamstrings 10%, Core 10%","Legs - Machine","Legs"
"Deficit Bulgarian Split Squat (Smith)","Smith Machine, Platform","Advanced","Quads 60%, Glutes 25%, Hamstrings 10%, Core 5%","Legs - Smith Machine","Legs"
"Narrow Heel Elevated Smith Machine Squat","Smith Machine, Plates","Intermediate","Quads 70%, Glutes 15%, Hamstrings 10%, Core 5%","Legs - Smith Machine","Legs"
"Smith Machine Deficit RDL","Smith Machine, Platform","Intermediate","Hamstrings 55%, Glutes 35%, Lower Back 10%","Legs - Smith Machine","Legs"
"Squat","Barbell","Intermediate","Quads 40%, Glutes 30%, Hamstrings 20%, Core 10%","Legs - Barbell","Legs"
"Deficit RDL","Barbell, Platform","Advanced","Hamstrings 55%, Glutes 35%, Lower Back 10%","Legs - Barbell","Legs"
"Deficit Bulgarian DB Split Squats","Dumbbells, Platform","Advanced","Quads 60%, Glutes 25%, Hamstrings 10%, Core 5%","Legs - DB","Legs"
"Goblet Squat","Dumbbells","Beginner","Quads 50%, Glutes 30%, Core 15%, Hamstrings 5%","Legs - DB","Legs"
"Deficit Sumo Squat","Dumbbells, Platform","Intermediate","Glutes 45%, Adductors 25%, Quads 20%, Core 10%","Legs - DB","Legs"
"Barbell Supported RDLs","Dumbbells, Smith or Rack Support","Intermediate","Hamstrings 55%, Glutes 35%, Lower Back 10%","Legs - DB","Legs"
"Barbell Reverse Curl","Barbell","Intermediate","Brachioradialis 60%, Biceps Brachii 25%, Wrist Extensors 15%","Forearms ","Forearms"
"Cable cuffed braichial curl","Cable, Cuffs","Intermediate","Brachioradialis 55%, Biceps Brachii 30%, Wrist Flexors 15%","Forearms ","Forearms"
"Farmer's Walk","Dumbbells, Kettlebells","Beginner","Wrist Flexors 50%, Wrist Extensors 30%, Brachioradialis 20%","Forearms ","Forearms"
"Wrist Roller","Barbell with Rope, Weight Plate","Intermediate","Wrist Flexors 50%, Wrist Extensors 50%","Forearms ","Forearms"
"Towel DB curl","Towel, Dumbbells or Kettlebell","Advanced","Wrist Flexors 40%, Brachioradialis 35%, Biceps Brachii 25%","Forearms ","Forearms"
"Plank","None","Beginner","Rectus Abdominis 40%, Transverse Abdominis 30%, Obliques 20%, Lower Back 10%","Core","Core"
"Bicycle Crunch","None","Intermediate","Rectus Abdominis 35%, Obliques 50%, Hip Flexors 15%","Core","Core"
"Russian Twist","Medicine Ball or Dumbbells","Intermediate","Obliques 60%, Rectus Abdominis 30%, Hip Flexors 10%","Core","Core"
"Hanging Leg Raise","Pull-Up Bar","Advanced","Rectus Abdominis 50%, Hip Flexors 40%, Obliques 10%","Core","Core"
"Cable Woodchopper","Cable Machine","Intermediate","Obliques 55%, Rectus Abdominis 25%, Shoulders 10%, Back 10%","Core","Core"
